state,forecast_month,forecast_step,forecast_mean,ci_80_lower,ci_80_upper,ci_95_lower,ci_95_upper
Goa,2026-02,2,7867.700000000001,5432.011544988256,10303.388455011745,4143.870536799517,11591.529463200484
Goa,2026-03,3,8578.400000000001,5595.303056416664,11561.496943583339,4017.6589630083163,13139.141036991687
Goa,2026-04,4,9289.100000000002,5844.516353206823,12733.683646793183,4022.8098691773566,14555.390130822649
Goa,2026-05,5,9999.800000000001,6148.638405793164,13850.961594206838,4111.908639122153,15887.691360877849
Goa,2026-06,6,10710.5,6491.763844510717,14929.236155489283,4260.638171014825,17160.361828985173
Goa,2026-07,7,11421.2,6864.444150212649,15977.955849787351,4454.552990964736,18387.847009035264
Goa,2026-08,8,12131.900000000001,7260.523089976512,17003.27691002349,4684.241073599034,19579.55892640097
Goa,2026-09,9,12842.600000000002,7675.724529810233,18009.47547018977,4943.164803766034,20742.03519623397
Goa,2026-10,10,13553.300000000003,8106.935042582303,18999.664957417703,5226.564183667171,21880.035816332835
Goa,2026-11,11,14264.000000000004,8551.80424229647,19976.195757703535,5530.845799454819,22997.15420054519
Goa,2026-12,12,14974.7,9008.506112833325,20940.893887166676,5853.21792601663,24096.18207398337
Gujarat,2026-01,1,188318.83333333326,51483.931678057736,325153.73498860875,0.0,397520.399046547
Gujarat,2026-02,2,195802.26666666655,2288.4929397872183,389316.0403935459,0.0,491657.95816797967
Gujarat,2026-03,3,203285.6999999999,0.0,440290.70191562775,0.0,565633.4408382452
Gujarat,2026-04,4,210769.1333333332,0.0,484438.9366438842,0.0,629172.2647597606
Gujarat,2026-05,5,218252.56666666653,0.0,524224.70846236113,0.0,686041.4886008017
Gujarat,2026-06,6,225735.99999999983,0.0,560911.6880593421,0.0,738173.0893886979
Gujarat,2026-07,7,233219.43333333317,0.0,595250.5537871728,0.0,786714.7500958336
Gujarat,2026-08,8,240702.86666666646,0.0,627730.4141204251,0.0,832414.2496692927
Gujarat,2026-09,9,248186.2999999998,0.0,658691.0049658264,0.0,875790.997139641
Gujarat,2026-10,10,255669.7333333331,0.0,688379.6859691481,0.0,917223.171060476
Gujarat,2026-11,11,263153.16666666645,0.0,716983.1936823963,0.0,956996.2656922753
Gujarat,2026-12,12,270636.59999999974,0.0,744646.6038312555,0.0,995332.0816764905
Haryana,2026-01,1,96943.49999999994,62097.746016090336,131789.25398390956,43669.1803366124,150217.8196633875
Haryana,2026-02,2,97980.13333333327,48700.795458172,147259.47120849456,22638.867939170945,173321.3987274956
Haryana,2026-03,3,99016.7666666666,38662.150338489555,159371.38299484365,6742.9382710137,191290.5950623195
